id,sku,short_description,price,list_price,rating_average,review_count,quantity_sold,inventory_status,name,categories
480040,2436661537384,Đắc nhân tâm của Dale Carnegie là quyển sách duy nhất về thể loại self-help liên tục đứng đầu danh mục sách bán chạy nhất (best-selling Books) do báo The New York Times bình chọn suốt 10 năm liền. Đư...,76000,76000,5.0,1,"{'text': 'Đã bán 15', 'value': 15}",available,Đắc Nhân Tâm (Khổ Lớn),Sách tiếng Việt
480226,2510702650949,"Chúng Ta Sẽ Nói Gì Khi Gặp Lại Nhau Sài Gòn biết nhiều người sống với mình vẫn luôn nhớ nhung một cõi quê xa. Có sao đâu, vì Sài Gòn cũng biết tình cảm mọi người dành cho mình, không bằng ngôn từ bón...",42500,50000,0.0,0,"{'text': 'Đã bán 1', 'value': 1}",available,Chúng Ta Sẽ Nói Gì Khi Gặp Lại Nhau,Sách tiếng Việt
480687,2510565627386,"Vô Thường Cuốn sách là góc nhìn đầy nhân văn của vị bác sĩ hàng ngày chứng kiến những mảnh đời chấp chới giữa hai bờ sinh tử. Con người ta sinh ra, bàn tay nắm chặt. Con người ta chết đi, hai tay buô...",67150,79000,4.8,47,"{'text': 'Đã bán 368', 'value': 368}",available,Vô Thường,Truyện ngắn - Tản văn - Tạp Văn
509829,2201297792830,"Giấy Double A A4 DL70 với kích thước A4, thân thiện với môi trường và thích hợp với hầu hết các loại máy in phun, máy in laser, máy fax laser, máy photocopy.Sản phẩm thiết kế khổ giấy A4, thích hợp s...",72700,88000,4.8,255,"{'text': 'Đã bán 3564', 'value': 3564}",available,Giấy Double A A4 DL70,Giấy in - Fax - Photo
510195,2515947403343,Tiếng Gọi Nơi Hoang DãTiếng Gọi Nơi Hoang Dã (nguyên bản tiếng Anh: The Call of the Wild) là tiểu thuyết của nhà văn Mỹ Jack London.Chuyện kể về những chuyến phiêu lưu mạo hiểm của chú chó Bấc trung...,37440,72000,4.8,411,"{'text': 'Đã bán 1923', 'value': 1923}",available,Tiếng Gọi Nơi Hoang Dã (Khang Việt),Sách tiếng Việt
520330,2516949517625,"Đất Máu Sicily Sicily ngập tràn ánh mặt trời Địa Trung Hải, thoang thoảng hương cam chanh là xứ sở của núi non đẹp như tranh rải rác những phế tích lâu đời. Ở đó tầng lớp dân nghèo suốt nhiều thế kỉ ...",108000,120000,5.0,42,"{'text': 'Đã bán 304', 'value': 304}",available,Đất Máu Sicily (Mario Puzo),Tác phẩm kinh điển
520343,2518304551602,"Ông Trùm Cuối Cùng Mario Puzo đã làm nên tên tuổi với tiểu thuyết Bố Già - một tác phẩm về đề tài mafia. Và rồi, sau một phần tư thế kỉ, với Ông trùm cuối cùng, ông lại một lần nữa chiêu đãi độc giả ...",142500,150000,5.0,39,"{'text': 'Đã bán 196', 'value': 196}",available,Ông Trùm Cuối Cùng (Mario Puzo),Truyện ngắn - Tản văn - Tạp Văn
520358,2511407707198,"Tuyển Tập Mario Puzo (Trọn Bộ 5 Quyển) “Tổ chức Mafia củng cố uy quyền bằng luật omerta nghĩa là làm thinh, câm nín. Dân quê Sicily kín miệng đến nỗi người lạ hỏi đường cũng làm thinh. Trong nội bộ M...",549000,610000,4.7,24,"{'text': 'Đã bán 83', 'value': 83}",available,Tuyển Tập Mario Puzo (Trọn Bộ 5 Quyển),Root
531103,2515476345817,"Không Gia Đình Không Gia Đình là tiểu thuyết nổi tiếng nhất trong sự nghiệp văn chương của Hector Malot. Hơn một trăm năm nay, tác phẩm giành giải thưởng của Viện Hàn Lâm Văn học Pháp này đã trở thàn...",62400,120000,4.6,188,"{'text': 'Đã bán 810', 'value': 810}",available,Không Gia Đình (Khang Việt),Root
540039,2399543351471,"Giáo Trình Chuẩn HSK 1 - Bài HọcĐược chia thành 6 cấp độ với tổng cộng 18 cuốn, Giáo trình chuẩn HSK có những đặc điểm nổi bật sau:• Kết hợp thi cử và giảng dạy: Được biên soạn phù hợp với nội dung,...",142800,198000,4.8,852,"{'text': 'Đã bán 5000+', 'value': 6356}",available,Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm file MP3),Sách tiếng Việt
540040,2397833057522,"Giáo Trình Chuẩn HSK 1 - Bài TậpĐược chia thành 6 cấp độ với tổng cộng 18 cuốn,Giáo trình chuẩn HSKcó những đặc điểm nổi bật sau:Kết hợp thi cử và giảng dạy:Được biên soạn phù hợp với nội dung, hình...",115000,158000,4.8,555,"{'text': 'Đã bán 4040', 'value': 4040}",available,Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm file MP3),Sách Học Tiếng Hoa
545278,2513857681493,"Combo Sherlock Holmes Toàn Tập Sherlock Holmes là một nhân vật thám tử hư cấu vào cuối thể kỉ 19 và đầu thế kỉ 20, xuất hiện lần đầu trong tác phẩm của nhà văn Arthur Conan Doyle xuất bản năm 1887. Ô...",279000,300000,4.8,65,"{'text': 'Đã bán 169', 'value': 169}",available,Combo Sherlock Holmes Toàn Tập (Trọn Bộ 3 Tập),Sách tiếng Việt
555504,2434578841471,Đắc nhân tâm của Dale Carnegie là quyển sách duy nhất về thể loại self-help liên tục đứng đầu danh mục sách bán chạy nhất (best-selling Books) do báo The New York Times bình chọn suốt 10 năm liền. Đư...,86000,108000,5.0,53,"{'text': 'Đã bán 483', 'value': 483}",available,Sách Đắc Nhân Tâm (Bìa Cứng) (Tái Bản),Sách tiếng Việt
568762,2512172816078,"Tam Quốc Diễn Nghĩa  Tiểu thuyết cổ điển Trung Quốc như Tam quốc diễn nghĩa, Thủy hử, Tây du ký, Nho lâm ngoại sử, Hồng lâu mộng đã được liệt vào kho tàng văn hóa của Trung Quốc, đồng thời cũng là tà...",182000,350000,4.7,705,"{'text': 'Đã bán 2822', 'value': 2822}",available,Tam Quốc Diễn Nghĩa (Trọn Bộ 04 Tập),Root
571210,2511917258845,Combo Những Người Khốn Khổ  Những người khốn khổ là câu chuyện về xã hội nước Pháp trong khoảng hơn 20 năm đầu thế kỉ 19 kể từ thời điểm Napoleon I lên ngôi và vài thập niên sau đó. Nhân vật chính củ...,219960,423000,4.7,299,"{'text': 'Đã bán 975', 'value': 975}",available,Combo Những Người Khốn Khổ (Trọn Bộ 3 Tập),Sách tiếng Việt
575950,2498477694125,"Lịch Sử Thế Giới: Chân Dung Nhân Loại Theo Dòng Sự Kiện Với lượng thông tin và hình ảnh đồ sộ, cuốn sách là hành trình hấp dẫn giúp bạn khám phá các bước tiến lịch sử đã làm nên chân dung nhân loại n...",401300,590000,4.8,57,"{'text': 'Đã bán 214', 'value': 214}",available,Lịch Sử Thế Giới: Chân Dung Nhân Loại Theo Dòng Sự Kiện,Sách tiếng Việt
595476,3101824551208, Sherlock Holmes – Tập 1 “Tên tôi là Sherlock Holmes. Công việc của tôi là tìm hiểu những gì mà người khác không biết…” Đối với các độc giả yêu thích dòng văn trinh thám nói riêng cũng như những ng...,109250,115000,4.6,19,"{'text': 'Đã bán 47', 'value': 47}",available,Sherlock Holmes – Tập 1,Sách tiếng Việt
595724,2399694264989,"Giáo Trình Chuẩn HSK 4 Bài Học (Tập 1)GIÁO TRÌNH CHUẨN HSK chia thành 6 cấp độ với tổng cộng 18 cuốn, có những đặc điểm nổi bật sau:Kết hợp thi cử và giảng dạy: Được biên soạn phù hợp với nội dung, ...",172700,228000,5.0,374,"{'text': 'Đã bán 2773', 'value': 2773}",available,Giáo Trình Chuẩn HSK 4 Bài Học (Tập 1),Ngoại Ngữ Khác
614878,2526943504095,"Ruột Ơi Là Ruột Ruột Oi Là Ruột mời gọi chúng ta khám phá một trong những cơ quan phức tạp nhất, quan trọng nhất và có thể nói là diệu kỳ nhất trong cơ thể, nơi cư trú của cả một thế giới sống động –...",95000,100000,5.0,35,"{'text': 'Đã bán 185', 'value': 185}",available,Ruột Ơi Là Ruột,Sách tiếng Việt
625841,3102430445110,"Lời Thú Tội Mới Của Một Sát Thủ Kinh Tế (Tái Bản) ""Những kẻ sát thủ kinh tế"", John Perkins viết: ""Là những chuyên gia được trả lương hậu hĩnh để đi khắp thế giới và lừa đảo các nước trên toàn thế giớ...",152000,190000,4.6,33,"{'text': 'Đã bán 156', 'value': 156}",available,Lời Thú Tội Mới Của Một Sát Thủ Kinh Tế (Tái Bản),Sách kinh tế học
626886,3107427900399,Những Tấm Lòng Cao Cả Những tấm lòng cao cả (Cuore) ra đời từ những năm 80 của thế kỷ 19 đã làm cho tên tuổi nhà văn Edmondo De Amicis (1846 - 1908) trở nên nổi tiếng khắp thế giới. Cho đến nay tác ...,76000,80000,4.8,21,"{'text': 'Đã bán 116', 'value': 116}",available,Những Tấm Lòng Cao Cả,Sách tiếng Việt
633125,2524751572985,"“LĨNH NAM CHÍCH QUÁI” - VẺ ĐẸP CỦA MỘT DANH TÁCLĩnh Nam Chích Quái - tập truyện ghi lại những chuyện kỳ lạ ở nước Nam, là một danh tác văn học trung đại, một báu vật trong di sản...",262000,350000,4.8,422,"{'text': 'Đã bán 5000+', 'value': 5320}",available,Lĩnh Nam Chích Quái ,Sách tiếng Việt
641906,2517976269846,"Bí Mật Của Naoko Cuộc sống của Hirasule trôi qua hết sức bình lặng, cho đến một ngày tai nạn giao thông khủng khiếp xảy ra và gã mất đi người vợ yêu quý nhất của mình, còn đứa con gái bé bỏng vẫn tro...",77300,108000,5.0,63,"{'text': 'Đã bán 263', 'value': 263}",available,Bí Mật Của Naoko,Sách tiếng Việt
656342,2518305549646,"Thần Thoại Hy Lạp (Trọn Bộ 2 Tập) Thần thoại Hy Lạp, một di sản văn hóa của nhân dân Hy Lạp, từ lâu đã trở thành một giá trị phổ biến vô cùng quý báu của gia tài văn hóa nhân loại. Thật vậy, hiếm có ...",113880,219000,4.7,645,"{'text': 'Đã bán 2717', 'value': 2717}",available,Thần Thoại Hy Lạp (Trọn Bộ 2 Tập),Sách tiếng Việt
750578,2506010458896," Khi Hơi Thở Hóa Thinh Không  là tự truyện của một bác sĩ bị mắc bệnh ung thư phổi. Trong cuốn sách này, tác giả đã chia sẻ những trải nghiệm từ khi mới     bắt đầu học ngành y, tiếp xúc với bệnh nhân...",62500,109000,4.7,2131,"{'text': 'Đã bán 5000+', 'value': 60065}",available,Khi Hơi Thở Hóa Thinh Không,Sách tiếng Việt
766386,2518320743593,"Thiên Môn Chi Uy “Binh bất yếm trá, kẻ dụng binh đều cần đến thủ đoạn, điều này chẳng khác gì với đạo của Thiên Môn. Trong mắt ta, giặc Oa giống như nhà cái trò đặt cửa, chúng đặt vào nghìn dặm đường...",72000,90000,5.0,1,"{'text': 'Đã bán 8', 'value': 8}",available,Thiên Môn Chi Uy,Sách tiếng Việt
828621,1263496447936,"            Dolocher        Lẩn khuất trong những con hẻm tối tăm của Dublin, một sinh vật mang hình hài lai tạp ghê tởm giữa người và lợn, khoác trên    mình chiếc áo choàng đen hắc ám; từng đ...",159000,159000,4.6,91,"{'text': 'Đã bán 607', 'value': 607}",available,Dolocher,Sách tiếng Việt
832239,4597269233196,"Thiên Môn Chi TâmCảnh giới cao nhất của thiên đạo là không để lại vết tích. Như luyện Thái Cực Quyền, phải che giấu sức mạnh bản thân, cố gắng mượn sức người khác, khéo léo duy trì cán cân giữa các p...",61600,77000,0.0,0,"{'text': 'Đã bán 2', 'value': 2}",available,Thiên Môn Chi Tâm,Sách tiếng Việt
843279,5525967968071,"Cuộc Cách Mạng Một - Cọng - Rơm“Cuộc Cách Mạng Một - Cọng - Rơm” là cuốn sách nổi tiếng của Mansanobu Fukuoka, người khai sinh nông nghiệp tự nhiên của Nhật Bản và thế giới. Cuốn sách (đã được dịch r...",90000,90000,4.8,89,"{'text': 'Đã bán 880', 'value': 880}",available,Cuộc Cách Mạng Một - Cọng - Rơm,Sách tiếng Việt
847470,2496820414833,"Vũ Tịch ""Gái đâu có gái lạ đời Con vua lại lấy hai đời chồng xưa"" Nàng xuất hiện trong màn mưa Phú Xuân. Đẹp và u tịch như mưa. Nàng là con gái út vua Lê Hiển Tông, công chúa cuối cùng của triều L...",76000,112000,4.8,137,"{'text': 'Đã bán 1258', 'value': 1258}",available,Vũ Tịch,Root
870619,1028790509342,"Túp Lều Bác TomRa mắt độc giả vào  năm 1852, tiểu thuyết Túp Lều Bác Tom đã gây ảnh hưởng mạnh mẽ tới quan điểm của những người tiến bộ trong tầng lớp da trắng cũng như nhận được sự đồng cảm sâu sắc ...",104500,110000,5.0,5,"{'text': 'Đã bán 37', 'value': 37}",available,Túp Lều Bác Tom,Tác phẩm kinh điển
884432,2516866831484,"Trọn Bộ: Những Người Khốn Khổ (3 cuốn) ""Khi pháp luật và phong hóa còn đầy đọa con người, còn dựng nên những địa ngục ở giữa xã hội văn minh và đem một thứ định mệnh nhân tạo chồng thêm lên thiên mện...",370500,390000,5.0,10,"{'text': 'Đã bán 20', 'value': 20}",available,Trọn Bộ: Những Người Khốn Khổ (3 cuốn),Sách tiếng Việt
980770,2529294257733,"Chí Phèo là một truyện ngắn nổi tiếng của nhà văn Nam Cao viết vào tháng 2 năm 1941. Chí Phèo là một tác phẩm xuất sắc, thể hiện nghệ thuật viết truyện độc đáo của Nam Cao, đồng thời là một tấn bi kịc...",45600,48000,5.0,29,"{'text': 'Đã bán 110', 'value': 110}",available,Chí Phèo,Truyện ngắn - Tản văn - Tạp Văn
982037,4924384472900,"Thú tộiCảnh sát nhận định đây là vụ tai nạn nhưng Moriguchi biết ai đã sát hại con gái mình -  kẻ ở ngay trong lớp học do mình chủ nhiệm. Moriguchi bắt đầu kế hoạch báo thù của riêng cô""Một câu chuy...",64000,86000,4.7,1291,"{'text': 'Đã bán 5000+', 'value': 10783}",available,Thú Tội,Sách tiếng Việt
984938,2422703672403,"Gã Nghiện Giày - Tự Truyện Của Nhà Sáng Lập NIKE Một câu chuyện cuốn hút, và truyền cảm hứng.... 24 tuổi, lấy bằng MBA ở Đại học Stanford, trăn trở với những câu hỏi lớn của cuộc đời, băn khoăn không...",112000,160000,4.8,646,"{'text': 'Đã bán 5000+', 'value': 8692}",available,Gã Nghiện Giày - Tự Truyện Của Nhà Sáng Lập NIKE,Sách tiếng Việt
988532,2512492540844,"Cô Gái Cuối Cùng Của Dòng Họ Stanfield kể về Eleanor-Rigby, cô là nhà báo và sống tại Luân Đôn. Một sáng, cô nhận được một lá thư nặc danh cho biết mẹ cô từng có một quá khứ tội lỗi.George-Harrison l...",121500,135000,5.0,1,"{'text': 'Đã bán 2', 'value': 2}",available,Cô Gái Cuối Cùng Của Dòng Họ Stanfield,Sách tiếng Việt
997535,3854316437152,"Gọi Em Bằng Tên Anh - Call Me By Your NameGọi em bằng tên anh là câu chuyện tình yêu bất ngờ và mạnh mẽ nảy nở giữa thiếu niên 17 tuổi tên Elio với Oliver, một học giả Mỹ là khách trọ mùa hè ở căn bi...",81100,98000,5.0,114,"{'text': 'Đã bán 375', 'value': 375}",available,Gọi Em Bằng Tên Anh - Call Me By Your Name,Sách tiếng Việt
1007137,9371358036029,Tự Học 2000 Từ Vựng Tiếng Anh Theo Chủ ĐềNghe nói đọc viết là 4 kĩ năng quan trọng để có thể học và sử dụng tốt tiếng Anh - ngôn ngữ toàn cầu. Tuy nhiên không phải ai cũng có thể thành thạo những kĩ ...,44000,65000,4.7,3879,"{'text': 'Đã bán 5000+', 'value': 23189}",available,Tự Học 2000 Từ Vựng Tiếng Anh Theo Chủ Đề,Sách Học Tiếng Anh
1021663,2261700241522,"Thủy Hử (Trọn Bộ 2 Tập)Thủy Hử là một trong Tứ đại danh tác của nền văn học cổ điển Trung Quốc. Qua giọng văn sống động của tác phẩm, một trăm linh tám anh hùng Lương Sơn mỗi người một vẻ, một xuất t...",272000,320000,4.7,12,"{'text': 'Đã bán 63', 'value': 63}",available,Thủy Hử (Trọn Bộ 2 Tập),Tác phẩm kinh điển
1204909,1519149674403,"Tự Học Nhạc Lý Cơ Bản (Tái Bản) là quyển sách giúp người đọc dễ dàng hơn trong việc tìm hiểu các kiến thức âm nhạc vừa cơ bản vừa thiết thực, đặc biệt với đối tượng độc tấu nhạc cụ, người đam mê học h...",67000,86000,5.0,54,"{'text': 'Đã bán 267', 'value': 267}",available,Tự Học Nhạc Lý Cơ Bản (Tái Bản),Sách tiếng Việt
1362559,4904833411865,"Cổ Phiếu Thường, Lợi Nhuận Phi Thường (Tái Bản 2017)Philip Fisher là một trong số các nhà đầu tư có ảnh hưởng lớn nhất mọi thời đại. Triết lý đầu tư của ông không chỉ được nhiều chuyên gia hiện đại n...",155200,199000,4.7,72,"{'text': 'Đã bán 353', 'value': 353}",available,"Cổ Phiếu Thường, Lợi Nhuận Phi Thường (Tái Bản)",Sách kinh tế học
1387539,5570800845873,            Tâm Lý Học Thành Công        Nhà tâm lý học nổi tiếng Carol S. Dweck sau nhiều thập niên nghiên cứu về thành công đã khám phá ra một ý tưởng thực sự    mang tính đột phá – sức mạnh ...,139000,199000,4.7,29,"{'text': 'Đã bán 282', 'value': 282}",available,Tâm Lý Học Thành Công,Sách tiếng Việt
1445365,9351974982221,"            Dưới Một Mái Nhà Ở Paris        “Nghệ thuật là một lời nói dối khiến chúng ta hiểu được sự thật…”    Paris, một xưởng vẽ giấu mình cuối một ngõ nhỏ rợp bóng cây xanh. Madeline đã ...",113000,119000,4.5,23,"{'text': 'Đã bán 73', 'value': 73}",available,Dưới Một Mái Nhà Ở Paris,Sách tiếng Việt
1471885,3935919142220," Cơn Sốt Lúc Bình Minh “Câu chuyện khác thường về tình yêu, chiến tranh, và sức mạnh của những lá thư.”- Jennifer Clement (Tác giả Prayers for the Stolen)Thế chiến II kết thúc chưa đầy ba tuần. Gió...",71200,89000,0.0,0,"{'text': 'Đã bán 4', 'value': 4}",available,Cơn Sốt Lúc Bình Minh,Sách tiếng Việt
1471887,7015712701858,"            Tớ Muốn Ăn Tụy Của Cậu        “Tôi không biết về ngày mai của tôi - người vẫn còn thời gian, nhưng tôi đã nghĩ ngày mai của cô ấy - người chẳng còn mấy    thời gian đã được hẹn trướ...",81600,96000,4.8,33,"{'text': 'Đã bán 113', 'value': 113}",available,Tớ Muốn Ăn Tụy Của Cậu,Tiểu Thuyết
1475793,6820533991330,"            Little Stories - To Make You A Good Person        Tiếng Anh hiện nay đã là một ngôn ngữ phổ biến tại Việt Nam, được nhiều người sử dụng thường xuyên trong học tập, công việc    hay ...",52200,65000,5.0,36,"{'text': 'Đã bán 320', 'value': 320}",available,Little Stories - To Make You A Good Person,Sách tư duy - Kỹ năng sống
1476937,7750936862328,Dám Bị GhétCác mối quan hệ xã hội thật mệt mỏi.Cuộc sống sao mà nhạt nhẽo và vô nghĩa.Bản thân mình xấu xí và kém cỏi.Quá khứ đầy buồn đau còn tương lai thì mờ mịt.Yêu cầu của người khác thật khắ...,74800,96000,5.0,174,"{'text': 'Đã bán 918', 'value': 918}",available,Dám Bị Ghét,Sách tiếng Việt
1534613,2714130122102,"Giáo Trình Chuẩn HSK 5 Bài Học (Tập 1)Giáo trình chuẩn HSK chia thành 6 cấp độ với tổng cộng 18 cuốn, có những đặc điểm nổi bật sau:Kết hợp thi cử và giảng dạy: Được biên soạn phù hợp với nội dung, ...",214000,278000,4.8,289,"{'text': 'Đã bán 2172', 'value': 2172}",available,Giáo Trình Chuẩn HSK 5 Bài Học (Tập 1),Sách Học Tiếng Hoa
1534617,3892470665271,"Giáo Trình Chuẩn HSK 5 Bài Học (Tập 2)Giáo trình chuẩn HSK chia thành 6 cấp độ với tổng cộng 18 cuốn, có những đặc điểm nổi bật sau:Kết hợp thi cử và giảng dạy: Được biên soạn phù hợp với nội dung, ...",192960,268000,5.0,3,"{'text': 'Đã bán 39', 'value': 39}",available,Giáo Trình Chuẩn HSK 5 Bài Học (Tập 2),Sách tiếng Việt
1635863,5112210981804,Ăn dặm không nước mắtThế nào là ăn dặm không nước mắt? Là khi con không khóc vì bị ép ăn và mẹ không khóc vì con bỏ bữa. Là khi con hào hứng trước mỗi bữa ăn và mẹ hạnh phúc thấy con ăn hết phần đồ ă...,94000,105000,5.0,19,"{'text': 'Đã bán 256', 'value': 256}",available,Ăn Dặm Không Nước Mắt (Tái Bản 2018),Sách Làm Cha Mẹ
1645715,6623091738856,"Bộ Luật Hình Sự Hiện Hành (Bộ Luật Năm 2015, Sửa Đổi, Bổ Sung Năm 2017) với các quy định mới về tội phạm; những trường hợp loại trừ trách nhiệm hình sự; thời hiệu truy cứu trách nhiệm hình  Bộ luật hì...",166000,166000,0.0,0,"{'text': 'Đã bán 9', 'value': 9}",available,"Bộ Luật Hình Sự Hiện Hành (Bộ Luật Năm 2015, Sửa Đổi, Bổ Sung Năm 2017)",Sách tiếng Việt
1664525,2147399986992,"Giáo trình kỹ thuật lập trình C căn bản và nâng cao được hình thành qua nhiều năm giảng dạy của các tác giả. Ngôn ngữ lập trình C là một môn học cơ sở trong chương trình đào tạo kỹ sư, cử nhân tin học...",96000,135000,4.8,59,"{'text': 'Đã bán 504', 'value': 504}",available,Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao,Lập Trình
1667307,9416226248958,Quân Vương – Thuật Cai Trị (Tái Bản 2018) là cuốn sách gối đầu giường của rất nhiều thế hệ chính trị gia và lãnh đạo trên thế giới.Cuốn sách nhỏ của Niccolò Machiavelli đã hội tự những nguyên tắc làm...,103550,109000,4.6,21,"{'text': 'Đã bán 82', 'value': 82}",available,Quân Vương – Thuật Cai Trị (Tái Bản),Lý Luận Chính Trị
1670619,9675413395350,"Charlotte Và Wilbur (Tái Bản 2018)""Một cuốn sách xuất chúng dành cho thiếu nhi."" (The Times Literary Supplement)Wilbur, chú lợn xuân cứ đinh ninh mình sẽ vui hưởng thái bình mãi trong trang trại nhà...",53200,56000,4.7,19,"{'text': 'Đã bán 200', 'value': 200}",available,Charlotte Và Wilbur (Tái Bản 2018),Sách tiếng Việt
1686729,2415599402827,"Học Tiếng Anh Giao Tiếp Chỉ Trong 30 NgàyBạn thấy nói là kỹ năng khó nhất khi học tiếng Anh? Bạn muốn phát âm thật chuẩn, dùng từ chính xác, nói đúng ngữ pháp, lưu loát và tự nhiên như người bản ngữ?...",214200,298000,4.6,88,"{'text': 'Đã bán 1147', 'value': 1147}",available,Học Tiếng Anh Giao Tiếp Chỉ Trong 30 Ngày,Sách tiếng Việt
1747347,5828336278635,"Chìa Khóa Để Trở Thành Người Đa Ngôn NgữBiết ngoại ngữ là kỹ năng cần phải có trong thời đại toàn cầu hóa. Không chỉ dừng lại ở trình độ biết một ngoại ngữ, nhiều người đã và đang có nhu cầu nâng cao...",66400,109000,4.7,207,"{'text': 'Đã bán 4408', 'value': 4408}",available,Chìa Khóa Để Trở Thành Người Đa Ngôn Ngữ,Sách tiếng Việt
1750249,6701754961664,"Phân Tích Chứng Khoán là một trong những cuốn sách tài chính có ảnh hưởng nhất thế giới từng được viết ra. Với hơn một triệu bản được bán ra thông qua năm phiên bản trước, Phân tích chứng khoán đã cun...",363900,499000,4.8,102,"{'text': 'Đã bán 419', 'value': 419}",available,Phân Tích Chứng Khoán,Sách kỹ năng làm việc
1822907,1486011339503,"            Oxford Picture Dictionary English/Vietnamese 3 Ed. Dictionary        Key features            Illustrations present over 4,000 English words and phrases within meaningful, real-li...",291650,326000,5.0,170,"{'text': 'Đã bán 901', 'value': 901}",available,Oxford Picture Dictionary English/Vietnamese 3 Ed. Dictionary,Dictionary
